title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Stackelberg coupling of online representation learning and reinforcement learning,"F Martinez, T Li, Y Lu, J Chen",2026,1,"… Given the control network’s committed strategy (with θ treated as fixed via stop-gradient … , allowing it to compute an effective best response to the leader’s slowly changing strategy. The …",vx0P8pnNiOcJ,"F Martinez, T Li, Y Lu, J Chen - International Conference on …, 2026 - proceedings.iclr.cc",['https://proceedings.iclr.cc/paper_files/paper/2026/file/050f729db878738a9d44d4a7f995bf36-Paper-Conference.pdf'],https://proceedings.iclr.cc/paper_files/paper/2026/hash/050f729db878738a9d44d4a7f995bf36-Abstract-Conference.html,unknown,unknown
Formulations and algorithms for general and security Stackelberg games,C Casorrán-Amilburu,2017,5,… to a Stackelberg game where the leader commits to a reward maximizing … by best responding with a pure strategy to the leader’s commitment. If there are multiple optimal strategies for …,M6Gt-MbSEoUJ,C Casorrán-Amilburu - 2017 - inria.hal.science,['https://inria.hal.science/tel-01666449/file/Tesis.pdf'],https://inria.hal.science/tel-01666449/,unknown,unknown
Stackelberg learning from human feedback: Preference optimization as a sequential game,"B Pásztor, T Kleine Buening…",2026,7,"… alignment as a sequential Stackelberg game in which a Leader commits first and a … optimal strategy is straightforward as for any action y presented by the Leader, it plays the best …",I4TuepXes1kJ,"B Pásztor, T Kleine Buening… - … Conference on Learning …, 2026 - proceedings.iclr.cc",['https://proceedings.iclr.cc/paper_files/paper/2026/file/bdac211b8e6aa72b0331b8e9b672f779-Paper-Conference.pdf'],https://proceedings.iclr.cc/paper_files/paper/2026/hash/bdac211b8e6aa72b0331b8e9b672f779-Abstract-Conference.html,unknown,unknown
Nearly-optimal bandit learning in stackelberg games with side information,"N Balcan, M Bernasconi, M Castiglioni…",2026,10,"… strategic settings take the form of Stackelberg games, in which the leader commits to a (randomized) strategy and the follower(s) best… In particular, we observe that the optimal strategy at …",_anMh8pAo-cJ,"N Balcan, M Bernasconi, M Castiglioni… - International …, 2026 - proceedings.iclr.cc",['https://proceedings.iclr.cc/paper_files/paper/2026/file/3af8c40dcf1bc94fa570a5e42edf219d-Paper-Conference.pdf'],https://proceedings.iclr.cc/paper_files/paper/2026/hash/3af8c40dcf1bc94fa570a5e42edf219d-Abstract-Conference.html,unknown,unknown
Improving resource allocation strategy against human adversaries in security games,"R Yang, C Kiekintveld, F Ordonez, M Tambe…",2011,174,"… Stackelberg security games make it critical that we address human adversaries’ bounded rationality in computing optimal strategies… security games, the defender (leader) first commits to …",YVeoJ6ef6jUJ,"R Yang, C Kiekintveld, F Ordonez, M Tambe… - … Joint Conference on …, 2011 - cs.utep.edu",['https://www.cs.utep.edu/kiekintveld/papers/2011/ykotj-human-adversaries-security-games.pdf'],https://www.cs.utep.edu/kiekintveld/papers/2011/ykotj-human-adversaries-security-games.pdf,unknown,unknown
Simulation-Informed Bayesian Stackelberg Defense for Multi-Stage Cyber Attacks,"Z Shen, R He, X Zhang",2026,0,"… In a Stackelberg game, a leader commits to a mixed strategy and a follower chooses a best … It does not imply that every Strong Stackelberg Equilibrium (SSE) is unique or that a leader …",e-NYaJHc_KMJ,"Z Shen, R He, X Zhang - Computers, 2026 - mdpi.com",[],https://www.mdpi.com/2073-431X/15/8/545,unknown,unknown
