title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Consensus-building on citations in peer-to-peer systems,K Ito,2021,2,"… Therefore, we combined random walks on graphs with peer … based on rewards and gametheoretic concepts. For example, … specific topics such as PageRank games (Hopcroft & …",ATVF_hOHa0cJ,K Ito - 2021 - repository.dl.itc.u-tokyo.ac.jp,['https://repository.dl.itc.u-tokyo.ac.jp/record/2008755/files/A38777.pdf'],https://repository.dl.itc.u-tokyo.ac.jp/record/2008755/files/A38777.pdf,unknown,unknown
Power in Liquid Democracy: A Network Centrality Approach,"D Grossi, A Nitsche, G Papasotiropoulos…",2026,0,"… We employ Random Walk Decay centrality to capture how … advantages over alternatives such as PageRank, and derive a … as of command games [29, 30] from cooperative game theory. …",Iq240uQSxX8J,"D Grossi, A Nitsche, G Papasotiropoulos… - arXiv preprint arXiv …, 2026 - arxiv.org",['https://arxiv.org/pdf/2608.13188'],https://arxiv.org/abs/2608.13188,unknown,unknown
A non-manipulable trust system based on eigentrust,"Z Abrams, R Mcgrew, S Plotkin",2005,57,"… and rational peers from a game theoretic perspective, and propose a … While one could use standard distributed PageRank … Xt is also the node that the random walk visits at time t, and …",_-za_ixTVr4J,"Z Abrams, R Mcgrew, S Plotkin - ACM SIGecom Exchanges, 2005 - dl.acm.org",['https://dl.acm.org/doi/pdf/10.1145/1120717.1120721'],https://dl.acm.org/doi/abs/10.1145/1120717.1120721,unknown,unknown
Public transport transfers assessment via transferable utility games and Shapley value approximation,"G Gnecco, Y Hadas, M Sanguineti",2021,30,"… easily possible to switch between routes. The methodology is based on a solution concept from cooperative game theory, known as Shapley value. A special formulation of the game is …",8ZVotty6VYoJ,"G Gnecco, Y Hadas, M Sanguineti - Transportmetrica A: Transport …, 2021 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/23249935.2020.1799112,unknown,unknown
Resilience Evaluation of Regional Transportation Network Based on Game Theory and Extensible Cloud Model: A Case Study of the Beijing-Tianjin-Hebei Region,"H Zhang, X Guo, Z Wang, M Zhu…",2026,0,"… evaluation model was developed that integrates game theory-based weighting with an … grounded in game theory, combined with a comprehensive fuzzy-random qualitative and …",xgi2k0RoecAJ,"H Zhang, X Guo, Z Wang, M Zhu… - Transportation …, 2026 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/03611981251404353,unknown,unknown
Network essence: Pagerank completion and centrality-conforming markov chains,SH Teng,2017,5,"… cooperative game theory, but under a different name [81]. An n-person cooperative game … , v] is equal to the probability that a run of random walk starting at u passes by v immediately …",FnsI6O4nkRsJ,"SH Teng - A Journey Through Discrete Mathematics: A Tribute to …, 2017 - Springer",['https://arxiv.org/pdf/1708.07906'],https://link.springer.com/chapter/10.1007/978-3-319-44479-6_31,unknown,unknown
The structure of broad topics on the web,"S Chakrabarti, MM Joshi, K Punera…",2002,212,"… Convergence of topic distribution on undirected random walks… , we design a certain undirected random walk (ie, assuming … Hence we add a PageRankstyle random jump parameter to …",2ONIJ8Hvtv8J,"S Chakrabarti, MM Joshi, K Punera… - Proceedings of the 11th …, 2002 - dl.acm.org",['https://dl.acm.org/doi/pdf/10.1145/511446.511480'],https://dl.acm.org/doi/abs/10.1145/511446.511480,unknown,unknown
"SAG-ERC: Securing Attack-Graph-based Systems through Node Embedding, Ranking, and Clustering","MR Al-Eiadeh, M Abdallah",2025,0,"… We apply a random walk embedding algorithm to project … classical models of game theory and decision-theoretic approaches (… Unlike Google’s PageRank, which only considers the link …",ay_pSqXAM8YJ,"MR Al-Eiadeh, M Abdallah - 2025 1st International Conference …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11136907/,unknown,unknown
